home,away,homescore_r,awayscore_r
MTL,TOR,3,4
CHI,WSH,6,4
EDM,WPG,4,5
PHI,TOR,1,3
DET,BUF,2,1
COL,ANA,6,1
BOS,TBL,3,1
PIT,NJD,3,0
WSH,CGY,4,4
STL,NSH,4,2
MIN,LAK,2,2
DAL,FLA,2,4
PHX,NYR,4,1
SJS,VAN,4,1
BUF,OTT,0,1
NJD,NYI,3,3
CAR,DET,2,2
CBJ,CGY,3,4
WPG,LAK,5,3
COL,NSH,3,1
BOS,DET,4,1
TOR,OTT,4,4
MTL,PHI,4,1
NYI,CBJ,2,2
PIT,BUF,4,1
CHI,TBL,2,2
STL,FLA,7,0
DAL,WSH,2,1
MIN,ANA,3,3
VAN,EDM,6,2
SJS,PHX,4,1
CAR,PHI,2,1
WPG,ANA,2,3
CGY,VAN,4,4
EDM,NJD,4,4
LAK,NYR,1,3
TOR,COL,1,2
NYI,PHX,6,1
PHI,FLA,2,1
PIT,CAR,5,2
BUF,TBL,2,2
NSH,MIN,3,2
VAN,NJD,2,2
SJS,NYR,9,2
STL,CHI,3,2
CGY,MTL,3,2
LAK,OTT,3,3
BOS,COL,0,2
BUF,CBJ,1,4
WSH,CAR,2,3
DET,PHX,2,4
TBL,FLA,7,2
NSH,TOR,0,4
MIN,WPG,2,1
EDM,MTL,1,4
VAN,SJS,1,4
ANA,NYR,6,0
PHI,PHX,1,2
CAR,LAK,1,1
FLA,PIT,6,3
CHI,NYI,3,2
WPG,DAL,1,4
CGY,NJD,3,2
TOR,EDM,5,5
DET,PHI,5,2
TBL,PIT,4,5
WSH,COL,1,5
CBJ,BOS,1,3
CHI,BUF,2,1
STL,NYR,5,3
NSH,NYI,3,2
MIN,DAL,5,1
VAN,MTL,1,4
SJS,OTT,3,2
CAR,PHX,3,5
FLA,LAK,0,3
WPG,NJD,3,0
ANA,OTT,4,1
BOS,DET,2,3
WSH,EDM,4,2
BUF,MIN,1,2
TOR,MIN,4,1
NYI,BUF,3,3
PHI,VAN,2,3
PIT,EDM,3,2
CAR,CHI,2,2
DET,CBJ,2,1
TBL,LAK,5,1
STL,SJS,2,6
NSH,FLA,4,3
WPG,MTL,0,3
COL,DAL,3,2
PHX,OTT,3,3
WSH,NYR,0,2
ANA,CGY,3,2
BUF,VAN,0,3
TOR,CAR,2,3
NYI,EDM,3,2
PHI,PIT,1,4
MTL,CBJ,5,3
OTT,NJD,5,2
TBL,MIN,3,1
FLA,BOS,2,3
CHI,STL,2,2
NSH,LAK,1,1
DAL,SJS,3,3
COL,DET,2,4
WPG,STL,3,3
ANA,PHX,2,2
PIT,VAN,3,3
OTT,EDM,1,3
BUF,COL,2,4
MTL,NSH,1,2
TBL,BOS,0,5
FLA,MIN,1,1
NJD,NYR,4,0
NYI,CAR,3,4
WSH,CBJ,4,1
CHI,TOR,3,1
PHX,DET,5,2
SJS,CGY,6,3
LAK,DAL,5,2
CBJ,VAN,3,1
WPG,NSH,1,3
ANA,DAL,6,3
DET,SJS,0,0
PIT,COL,0,1
LAK,CGY,2,3
TOR,ANA,4,2
NYI,VAN,4,4
CBJ,NJD,4,1
MTL,EDM,3,4
FLA,CHI,2,2
MIN,NSH,2,0
WPG,WSH,4,4
PHX,CGY,4,2
DET,OTT,1,6
BUF,BOS,2,5
BOS,SJS,2,1
NJD,VAN,2,2
PHI,NYR,2,1
MTL,ANA,4,1
TBL,CHI,5,5
NSH,WPG,2,2
MIN,CAR,3,1
DAL,CGY,5,1
EDM,WSH,1,4
LAK,PHX,7,4
PIT,NYI,3,4
CBJ,TOR,5,2
OTT,ANA,1,2
FLA,BUF,1,3
STL,VAN,2,2
COL,CAR,4,2
BOS,NJD,3,4
TOR,PIT,4,1
MTL,SJS,0,2
DET,NYR,2,2
TBL,BUF,3,2
NYI,PHI,2,5
DAL,WPG,1,1
CHI,MIN,3,5
NSH,STL,1,6
PHX,EDM,5,4
CGY,WSH,5,2
OTT,SJS,2,5
FLA,TBL,3,3
CBJ,ANA,3,4
COL,WPG,3,2
LAK,EDM,1,1
BUF,DAL,3,4
CAR,PIT,1,3
NYR,MTL,0,2
MIN,CHI,1,5
VAN,WSH,3,2
NYI,NYR,2,3
PHI,ANA,2,3
MTL,DAL,2,1
NJD,TBL,2,1
CHI,OTT,6,5
STL,WPG,3,2
EDM,TOR,0,4
PHX,LAK,3,1
PIT,BOS,3,2
CGY,TOR,2,4
VAN,DET,1,2
LAK,SJS,3,3
BOS,ANA,2,2
NYR,BUF,2,0
PHX,NSH,4,4
PHI,WSH,0,7
PIT,CBJ,4,2
CAR,TBL,0,3
OTT,NYI,4,4
FLA,STL,0,4
MIN,MTL,4,3
DAL,COL,2,2
CGY,DET,3,4
WPG,CHI,1,5
LAK,NSH,3,4
BUF,ANA,3,6
TBL,STL,4,2
NJD,PHI,0,1
NYI,BOS,3,1
NYR,CAR,5,1
WSH,FLA,2,2
CBJ,PIT,0,3
VAN,TOR,4,0
COL,MTL,4,1
EDM,DET,0,5
SJS,PHX,2,2
OTT,DAL,3,3
CHI,CGY,2,2
MIN,NJD,4,0
NYR,ANA,1,2
WPG,DET,4,2
BOS,DAL,2,2
WSH,NYI,6,2
CBJ,OTT,1,4
MTL,STL,2,2
FLA,EDM,3,3
CAR,PHI,1,1
MIN,CGY,5,1
PHX,VAN,2,2
SJS,BUF,4,4
NYR,PIT,5,1
CHI,WPG,4,1
COL,NSH,4,6
ANA,PHX,5,2
BOS,FLA,4,1
OTT,MTL,4,1
PHI,NJD,0,3
WSH,MIN,2,2
CAR,NYI,1,0
CBJ,NYR,2,4
DET,DAL,3,3
TBL,EDM,4,2
STL,CGY,3,2
LAK,BUF,2,0
SJS,VAN,2,4
TOR,NJD,1,1
WPG,NSH,5,0
COL,CGY,4,2
ANA,BUF,6,2
PHI,EDM,4,2
OTT,FLA,3,2
BOS,TOR,3,1
DET,TBL,2,2
CAR,MIN,2,2
CBJ,NYI,5,2
STL,PIT,2,1
DAL,CHI,2,5
PHX,WSH,3,3
LAK,VAN,5,1
MTL,NYI,4,2
NJD,NSH,5,0
NYR,FLA,4,3
CHI,EDM,5,4
WPG,SJS,4,4
COL,WSH,4,1
ANA,VAN,3,1
BOS,TBL,3,0
BUF,LAK,2,2
NYI,NSH,3,1
NYR,NJD,2,3
WSH,CBJ,3,3
CAR,COL,2,1
MTL,TBL,1,1
OTT,PHI,0,5
DET,WPG,2,2
FLA,ANA,3,2
STL,PHX,2,2
CGY,SJS,2,2
MIN,TOR,1,1
PIT,PHI,1,2
EDM,DAL,0,3
BOS,CBJ,2,2
NYI,LAK,2,3
TBL,ANA,5,1
CHI,PHX,4,4
STL,COL,7,3
CGY,DAL,3,7
VAN,SJS,1,1
BUF,TOR,3,1
NJD,LAK,0,2
PIT,NSH,4,1
CAR,ANA,2,2
CBJ,MTL,2,2
OTT,BOS,4,2
DET,WSH,3,3
MIN,FLA,3,2
WPG,PHI,2,2
EDM,SJS,1,3
TOR,BUF,4,2
MTL,NYR,0,1
NJD,PIT,4,1
NYI,DET,4,4
STL,CAR,4,2
NSH,CHI,7,2
PHX,TBL,6,3
COL,FLA,1,4
CGY,EDM,2,4
OTT,CBJ,1,4
WSH,STL,4,1
NYR,LAK,0,1
CHI,SJS,5,1
MIN,WPG,2,1
VAN,DAL,1,2
CAR,BOS,1,4
PIT,ANA,3,1
WPG,CGY,4,4
BUF,STL,1,4
TOR,NYI,5,2
PHI,OTT,5,2
MTL,MIN,6,2
DET,NSH,0,2
NYR,BOS,1,2
COL,CHI,5,1
EDM,CBJ,7,0
VAN,FLA,2,2
LAK,TBL,5,2
OTT,MIN,3,4
WSH,PIT,0,4
CGY,CBJ,1,1
ANA,NJD,3,3
BOS,STL,2,2
TOR,NSH,2,4
PHI,BUF,4,1
DET,CAR,4,3
WPG,CHI,3,6
DAL,NYR,2,3
PHX,COL,3,3
EDM,FLA,4,1
LAK,NJD,1,1
SJS,TBL,5,1
PIT,NYI,4,3
WSH,MTL,2,3
CGY,FLA,3,3
VAN,CBJ,6,2
ANA,TBL,0,0
BOS,CAR,2,2
WPG,MIN,2,2
TOR,WSH,1,1
MTL,PIT,3,2
DET,OTT,2,4
PHI,NYI,5,2
STL,DAL,6,1
NSH,NYR,0,2
PHX,ANA,2,4
VAN,CHI,1,2
LAK,COL,0,0
SJS,NJD,2,1
BUF,DET,1,3
CAR,OTT,4,1
BOS,PIT,3,3
TOR,CBJ,0,6
NJD,WPG,1,3
TBL,NYR,5,0
FLA,PHI,3,1
STL,MIN,3,0
NSH,PHX,4,2
EDM,CHI,1,5
VAN,LAK,2,2
DAL,ANA,6,3
BUF,MTL,1,3
NJD,CAR,3,4
NYI,WPG,2,3
WSH,OTT,4,6
CBJ,NSH,0,4
DET,BOS,6,1
TBL,PHI,4,2
FLA,NYR,2,5
PIT,TOR,5,5
MIN,PHX,1,3
COL,STL,1,4
CGY,CHI,2,3
SJS,LAK,2,2
OTT,VAN,2,5
NSH,EDM,0,3
BOS,NYR,3,2
TBL,PIT,0,3
NYI,DET,0,5
PHI,WPG,2,1
ANA,CGY,5,2
SJS,STL,6,3
WSH,MTL,2,2
MIN,COL,1,3
BUF,TOR,2,2
CAR,NJD,2,5
CBJ,EDM,4,2
DAL,CHI,1,1
NYR,VAN,5,2
BOS,CBJ,3,1
MTL,TOR,4,2
FLA,PIT,1,5
NJD,BUF,0,0
NYI,WSH,2,2
NSH,PHI,2,2
PHX,CHI,2,5
COL,MIN,2,2
LAK,CGY,1,2
SJS,ANA,3,3
CAR,VAN,2,3
OTT,DET,2,4
DAL,EDM,2,2
NYR,WPG,2,5
MTL,NJD,3,2
MIN,PHI,2,0
LAK,STL,3,2
TOR,SJS,2,4
NYI,PIT,2,2
WSH,CAR,1,4
CBJ,TBL,1,0
FLA,OTT,2,4
CHI,DAL,3,4
NSH,VAN,1,3
EDM,PHX,2,6
ANA,LAK,2,2
NJD,MTL,3,3
DET,PHI,3,6
CGY,PHX,4,1
BUF,NYR,1,3
