home,away,home shots,away shots,home goals,away goals
TOR,MTL,27,32,3,4
BOS,PHI,33,20,2,1
CGY,VAN,25,33,2,4
LAK,SJS,34,30,0,4
BUF,CBJ,22,40,1,3
PHI,NJD,39,26,4,6
PIT,ANA,39,29,6,4
WSH,MTL,30,24,1,2
DET,BOS,24,17,2,1
TBL,FLA,32,21,3,2
STL,NYR,25,25,2,3
NSH,OTT,37,20,3,2
DAL,CHI,34,26,2,3
MIN,COL,48,16,5,0
EDM,CGY,40,26,2,5
ARI,WPG,28,27,2,6
CAR,NYI,24,26,3,5
BOS,WSH,29,21,0,4
TOR,PIT,25,41,2,5
DET,ANA,29,26,2,3
TBL,OTT,40,34,2,3
FLA,NJD,29,24,1,5
NYI,CAR,31,24,4,3
PHI,MTL,32,38,3,4
CBJ,NYR,24,26,5,2
STL,CGY,39,24,4,1
NSH,DAL,33,18,4,1
CHI,BUF,47,23,6,2
COL,MIN,30,34,0,3
ARI,LAK,40,26,3,2
VAN,EDM,43,29,5,4
SJS,WPG,26,30,3,0
NYR,TOR,38,36,3,6
LAK,WPG,31,30,4,1
BOS,COL,28,30,1,2
BUF,ANA,12,44,1,5
FLA,OTT,30,23,0,1
NYR,NYI,43,27,3,6
PHI,ANA,42,28,3,4
WSH,SJS,34,23,5,6
CAR,BUF,25,26,3,4
CBJ,DAL,35,35,2,4
TOR,COL,40,24,3,2
TBL,NJD,27,25,1,2
NSH,CGY,21,28,2,3
LAK,EDM,26,32,6,1
DET,BOS,20,39,2,3
CHI,CGY,50,18,1,2
ARI,EDM,30,27,7,4
NYI,SJS,45,23,4,3
PIT,DAL,29,28,2,3
WSH,NJD,33,28,6,2
MTL,BOS,26,29,6,4
OTT,COL,28,31,5,3
LAK,STL,18,43,1,0
BUF,FLA,26,35,0,1
NYR,CAR,34,30,2,1
CBJ,CGY,26,31,3,2
TOR,DET,24,35,1,4
WPG,NSH,31,27,0,2
EDM,VAN,28,30,0,2
ANA,MIN,26,28,2,1
BUF,BOS,32,36,0,4
MTL,COL,36,34,3,2
OTT,CBJ,35,40,3,2
DET,TOR,32,30,1,0
NJD,SJS,37,32,2,4
PIT,NYI,38,35,3,1
WSH,FLA,28,21,2,1
DAL,PHI,23,37,5,6
CHI,NSH,37,20,2,1
ARI,STL,25,36,1,6
VAN,TBL,32,24,2,4
LAK,MIN,16,41,2,1
NYR,SJS,29,33,4,0
WPG,CGY,35,29,1,4
ANA,STL,25,28,3,0
EDM,TBL,23,24,3,2
BOS,SJS,33,34,5,3
NJD,NYR,31,25,3,4
NYI,TOR,36,28,2,5
MTL,DET,36,28,2,1
NSH,ARI,26,36,4,3
WPG,CAR,26,22,3,1
CHI,PHI,43,32,4,0
DAL,VAN,28,46,6,3
COL,FLA,33,36,3,4
CGY,TBL,22,22,1,2
OTT,TOR,41,30,3,5
PIT,PHI,25,33,3,5
EDM,WSH,20,34,3,2
ANA,BUF,34,23,4,1
BOS,NYI,32,38,2,3
DET,PIT,31,26,4,3
STL,VAN,32,23,1,4
NSH,CHI,27,32,3,2
MIN,ARI,29,26,2,0
CGY,CAR,24,16,5,0
LAK,BUF,39,29,2,0
SJS,CBJ,37,28,4,5
NJD,DAL,27,37,2,3
WPG,TBL,42,27,2,4
COL,VAN,48,29,7,3
EDM,CAR,29,30,6,3
ANA,CBJ,34,17,4,1
SJS,BUF,30,15,1,2
TOR,BOS,33,33,1,4
MTL,NYR,30,35,3,1
OTT,NJD,35,29,2,3
NYI,DAL,29,31,7,5
PHI,DET,17,37,4,2
STL,CHI,31,24,3,2
NSH,PIT,25,26,0,3
MIN,TBL,22,19,7,2
ARI,FLA,41,24,2,1
CGY,WSH,21,30,1,3
WPG,COL,28,23,2,1
LAK,CBJ,27,24,5,2
CHI,OTT,45,33,2,1
ANA,SJS,34,37,1,4
VAN,WSH,34,22,4,2
NYR,MIN,20,30,5,4
EDM,MTL,19,29,3,0
BOS,MIN,28,42,3,4
NYI,WPG,21,30,3,4
PHI,LAK,43,40,3,2
PIT,NJD,33,19,8,3
CBJ,OTT,38,34,2,5
TOR,BUF,37,10,4,0
TBL,ARI,35,25,7,3
CHI,ANA,38,25,0,1
DAL,STL,28,27,3,4
COL,SJS,33,51,2,3
CGY,MTL,38,19,1,2
VAN,CAR,25,30,4,1
WSH,DET,27,22,2,4
EDM,NSH,27,35,1,4
BUF,BOS,15,37,2,3
NJD,WPG,28,25,2,1
PIT,LAK,23,36,3,0
OTT,CHI,32,39,4,5
TBL,PHI,32,27,4,3
FLA,ARI,26,33,2,1
STL,ANA,29,24,2,0
MIN,SJS,46,28,4,3
COL,NYI,23,40,5,0
VAN,MTL,30,25,3,2
CBJ,TOR,29,27,1,4
DET,LAK,35,30,5,2
DAL,ANA,22,24,1,2
CGY,NSH,30,31,4,3
SJS,NYI,31,20,3,1
BOS,OTT,30,29,4,2
TOR,CHI,27,47,3,2
TBL,WSH,28,38,4,3
FLA,PHI,30,37,2,1
NJD,CBJ,29,34,3,2
NYR,WPG,38,25,0,1
PIT,BUF,34,18,5,0
CAR,ARI,35,25,3,0
STL,COL,29,29,3,2
MIN,DAL,30,20,4,1
EDM,VAN,27,30,2,3
BUF,DET,21,38,3,2
CAR,LAK,32,32,3,2
MTL,CGY,20,36,2,6
WSH,ARI,37,30,5,6
COL,ANA,18,33,2,3
CHI,WPG,33,27,0,1
VAN,NSH,27,33,1,3
NYR,STL,39,34,3,4
BOS,FLA,25,19,2,1
NJD,STL,26,23,0,1
PHI,EDM,25,36,4,1
WSH,CGY,34,23,3,4
CBJ,CAR,19,37,2,4
MTL,CHI,28,32,0,5
OTT,DET,32,32,3,1
MIN,PIT,34,22,1,4
WPG,NSH,26,24,3,1
DAL,LAK,34,30,1,3
COL,VAN,22,37,2,5
ARI,TOR,33,30,3,2
BUF,MTL,32,32,1,2
NYR,DET,30,28,4,3
ANA,NYI,34,36,2,3
BOS,EDM,32,26,5,2
PHI,FLA,30,35,4,1
OTT,MIN,17,35,3,0
TBL,CGY,33,31,5,2
STL,NJD,29,27,4,3
WPG,PIT,37,35,3,4
DAL,NSH,35,33,2,3
COL,TOR,34,38,4,3
LAK,NYI,29,26,1,2
SJS,VAN,36,19,2,3
BUF,EDM,31,52,2,3
CAR,CBJ,35,31,3,2
DET,NJD,31,17,4,2
CHI,WSH,40,24,2,3
ANA,ARI,39,25,2,3
FLA,CGY,31,25,4,6
BUF,PIT,21,39,1,6
TOR,NYR,31,35,5,4
MTL,MIN,31,31,4,1
OTT,WPG,38,37,1,2
PHI,COL,27,39,4,3
CBJ,TBL,32,38,4,7
WSH,CAR,40,27,4,3
STL,NSH,29,35,1,2
DAL,SJS,40,29,3,5
ARI,NYI,19,33,0,1
LAK,VAN,36,19,5,1
DET,TBL,20,30,3,4
NYR,EDM,21,33,1,3
CHI,SJS,37,34,5,2
ANA,VAN,29,35,1,2
BOS,NJD,23,28,4,2
CAR,CGY,31,23,4,1
NJD,MIN,23,24,3,1
NYI,COL,46,20,6,0
NYR,PIT,35,33,5,0
WSH,CBJ,32,26,4,2
MTL,WPG,27,29,3,0
FLA,SJS,30,26,4,1
STL,BUF,29,29,6,1
NSH,EDM,35,23,3,2
CHI,TBL,39,27,3,2
ARI,DAL,37,32,3,4
VAN,OTT,37,24,4,3
TOR,BOS,33,26,6,1
ANA,LAK,49,26,6,5
NYR,COL,33,29,3,4
CAR,WPG,23,37,1,3
MTL,BOS,34,22,5,1
TBL,SJS,33,39,1,2
STL,NSH,27,25,4,3
MIN,BUF,39,28,6,3
CGY,ARI,25,23,5,3
EDM,OTT,37,30,3,4
LAK,DAL,27,27,0,2
PHI,CBJ,27,38,3,4
WSH,NJD,30,28,0,1
TOR,PIT,31,40,1,2
DET,CHI,37,26,4,1
FLA,NYI,38,34,3,4
VAN,ARI,35,23,0,5
BOS,CAR,25,34,2,1
DAL,MIN,28,22,1,2
LAK,ANA,37,29,3,2
BUF,TOR,35,34,6,2
MTL,PHI,28,29,6,3
TBL,NYI,28,27,5,2
NJD,COL,25,29,2,3
PIT,NYR,38,31,3,2
CBJ,SJS,28,37,2,1
NSH,WPG,29,22,2,1
STL,WSH,34,25,4,1
CGY,OTT,25,25,4,2
CAR,SJS,45,19,0,2
MIN,WPG,27,25,4,3
DET,MTL,29,19,1,4
CHI,DAL,47,24,6,2
ANA,FLA,35,29,2,6
EDM,ARI,34,28,1,2
NYR,TBL,16,30,1,5
BOS,STL,17,33,2,0
BUF,SJS,14,30,4,1
NYI,TBL,36,28,5,2
CBJ,DET,28,40,0,5
TOR,NSH,31,37,2,9
MTL,PIT,27,22,0,4
WPG,NJD,34,22,3,1
DAL,CAR,27,25,4,6
CGY,ANA,19,27,4,3
ARI,WSH,24,24,1,2
LAK,FLA,27,32,5,2
NYR,PHI,34,31,2,0
EDM,VAN,32,31,4,5
PHI,MIN,39,29,2,3
TOR,TBL,21,28,5,2
MTL,STL,30,32,4,1
OTT,NSH,19,35,3,2
WPG,DET,31,27,3,4
DAL,ARI,27,27,3,1
COL,WSH,29,23,2,3
CGY,CHI,27,22,3,4
VAN,ANA,28,26,3,4
